Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,timestamp,cpu,memory,disk,latency,requests,errors,cpu_lag_1,cpu_lag_5,cpu_lag_15,cpu_roll_mean_60,cpu_roll_std_60,errors_roll_5_mean,mem_roll_mean_30,synthetic_failure,hours_to_failure
192.168.1.101-192.168.1.108-1883-53679-6,192.168.1.108,53679,192.168.1.101,1883,6,17/04/2025 03:38:57 PM,2400304,8,9,116.0,9.0,92.0,0.0,14.500000000000002,31.72650987063388,5.0,0.0,1.0,2.0,52.07673694665342,7.082436224744865,150019.00000000003,330482.36733276205,1123135.0,0.0,2336342.0,333763.14285714284,451238.5404053413,1123135.0,11.0,2400304.0,300038.00000000006,443437.9462324544,1151745.0,0.0,0,0,0,0,256,304,3.332911164585819,3.749525060159046,0.0,92.0,6.944444444444443,21.55832641715253,464.7614379084967,0,1,0,0,0,0,0,0,1.0,7.352941176470588,14.5,1.0,0,0,0,0,0,0,8,116,9,9,-1,509,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Initial access,2024-12-04 00:56:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.101-192.168.1.108-27946-54451-6,192.168.1.108,54451,192.168.1.101,27946,6,15/04/2025 03:09:11 PM,30561,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.44288472235856,30561.0,0.0,30561.0,30561.0,0.0,0.0,0.0,0.0,0.0,30561.0,30561.0,0.0,30561.0,30561.0,0,0,0,0,0,44,0.0,65.44288472235856,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-11-22 23:55:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.100-53-54187-6,192.168.1.100,54187,192.168.1.1,53,6,24/04/2025 11:29:41 AM,2021845,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94597756009981,224649.44444444444,262138.3004246571,501601.0,2340.0,1516304.0,505434.6666666667,3207.8716204569864,509117.0,503246.0,2021845.0,404369.0,224716.31669618475,509445.0,2413.0,0,0,0,0,128,132,1.978391024039924,2.967586536059886,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exfiltration,2024-11-20 06:08:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.103-192.168.1.108-26101-54451-6,192.168.1.108,54451,192.168.1.103,26101,6,15/04/2025 03:09:20 PM,8533,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.38415563107927,8533.0,0.0,8533.0,8533.0,0.0,0.0,0.0,0.0,0.0,8533.0,8533.0,0.0,8533.0,8533.0,0,0,0,0,0,44,0.0,234.38415563107927,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-06-02 02:11:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.102-192.168.1.108-3459-54451-6,192.168.1.108,54451,192.168.1.102,3459,6,15/04/2025 03:09:23 PM,3616,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0973451327434,3616.0,0.0,3616.0,3616.0,0.0,0.0,0.0,0.0,0.0,3616.0,3616.0,0.0,3616.0,3616.0,0,0,0,0,0,44,0.0,553.0973451327434,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-06-02 16:30:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.108-62975-58094-6,192.168.1.108,58094,192.168.1.1,62975,6,15/04/2025 02:57:56 PM,3795,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0092226613965,3795.0,0.0,3795.0,3795.0,0.0,0.0,0.0,0.0,0.0,3795.0,3795.0,0.0,3795.0,3795.0,0,0,0,0,0,44,0.0,527.0092226613965,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-06-15 12:41:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.101-192.168.1.108-4886-54451-6,192.168.1.108,54451,192.168.1.101,4886,6,15/04/2025 03:11:37 PM,4155,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.3477737665464,4155.0,0.0,4155.0,4155.0,0.0,0.0,0.0,0.0,0.0,4155.0,4155.0,0.0,4155.0,4155.0,0,0,0,0,0,44,0.0,481.3477737665464,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-06-25 12:32:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.108-8848-58094-6,192.168.1.108,58094,192.168.1.1,8848,6,15/04/2025 02:58:14 PM,2486,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.5052292839904,2486.0,0.0,2486.0,2486.0,0.0,0.0,0.0,0.0,0.0,2486.0,2486.0,0.0,2486.0,2486.0,0,0,0,0,0,44,0.0,804.5052292839904,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-07-14 09:29:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.101-192.168.1.108-1883-35781-6,192.168.1.101,1883,192.168.1.108,35781,6,17/04/2025 03:52:13 PM,0,2,1,9.0,0.0,5.0,4.0,4.5,0.7071067811865476,0.0,0.0,0.0,0.0,82165.16684982642,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,0.0,0.0,0.0,5.0,2.25,2.6299556396765835,6.916666666666667,0,0,0,0,1,0,0,0,0.0,3.0,4.5,0.0,0,0,0,0,0,0,2,9,1,0,-1,509,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Initial access,2025-02-02 18:32:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.102-192.168.1.108-40201-54451-6,192.168.1.108,54451,192.168.1.102,40201,6,15/04/2025 03:10:39 PM,22830,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.60402978537013,22830.0,0.0,22830.0,22830.0,0.0,0.0,0.0,0.0,0.0,22830.0,22830.0,0.0,22830.0,22830.0,0,0,0,0,0,44,0.0,87.60402978537013,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-10-26 05:47:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
